swElapsed,time_delta_s,alt_prev_m,alt_m,speed_prev_kph,speed_kph,vs_ms,vs_comp_ms,te_ms,te_b21_ms
0.9994,1.0000,337.1908,338.4801,94.621,92.467, 1.39,-1.58,-0.29,-0.18
0.9974,1.0000,338.4801,340.0441,92.467,89.615, 1.58,-2.03,-0.47,-0.45
0.9978,1.0000,340.0441,341.4549,89.615,86.942, 1.31,-1.85,-0.44,-0.54
1.0010,1.0000,341.4549,342.3220,86.942,85.086, 0.68,-1.25,-0.38,-0.57
0.9989,1.0000,342.3220,342.3719,85.086,84.325,-0.19,-0.50,-0.45,-0.69
1.0050,1.0000,342.3719,341.4978,84.325,84.810,-1.12, 0.32,-0.55,-0.80
0.9955,1.0000,341.4978,339.7698,84.810,86.421,-1.84, 1.08,-0.65,-0.76
1.0025,1.0000,339.7698,338.0702,86.421,87.940,-1.61, 1.04,-0.66,-0.57
0.9978,1.0000,338.0702,336.8874,87.940,88.713,-0.96, 0.53,-0.65,-0.42
1.0014,1.0000,336.8874,336.5816,88.713,88.348,-0.09,-0.25,-0.56,-0.35
1.0011,1.0000,336.5816,337.1098,88.348,86.732, 0.74,-1.11,-0.58,-0.37
1.0007,1.0000,337.1098,338.3448,86.732,84.025, 1.39,-1.81,-0.57,-0.42
0.9993,1.0000,338.3448,340.0237,84.025,80.806, 1.74,-2.07,-0.40,-0.33
0.9996,1.0000,340.0237,341.7288,80.806,77.709, 1.63,-1.92,-0.21,-0.29
0.9972,1.0000,341.7288,342.9221,77.709,75.218, 1.00,-1.49,-0.30,-0.49
1.0026,1.0000,342.9221,343.3949,75.218,73.787, 0.30,-0.83,-0.36,-0.54
0.9981,1.0000,343.3949,343.2550,73.787,73.304,-0.26,-0.28,-0.42,-0.54
1.0005,1.0000,343.2550,342.7737,73.304,73.413,-0.53, 0.06,-0.42,-0.47
1.0011,1.0000,342.7737,342.1963,73.413,73.859,-0.59, 0.26,-0.32,-0.34
0.9971,1.0000,342.1963,341.5394,73.859,74.353,-0.67, 0.29,-0.37,-0.38
1.0045,1.0000,341.5394,340.9020,74.353,74.719,-0.61, 0.21,-0.42,-0.40
0.9956,1.0000,340.9020,340.3990,74.719,74.867,-0.45, 0.09,-0.42,-0.36
1.0001,1.0000,340.3990,340.0910,74.867,74.383,-0.25,-0.28,-0.59,-0.54
1.0032,1.0000,340.0910,340.1029,74.383,73.637, 0.11,-0.43,-0.42,-0.32
0.9998,1.0000,340.1029,340.3768,73.637,72.493, 0.30,-0.65,-0.38,-0.35
1.0002,1.0000,340.3768,340.6930,72.493,71.435, 0.30,-0.59,-0.28,-0.30
0.9976,1.0000,340.6930,340.9313,71.435,70.689, 0.23,-0.41,-0.18,-0.19
1.0006,1.0000,340.9313,341.0318,70.689,70.023, 0.04,-0.37,-0.27,-0.33
1.0006,1.0000,341.0318,340.9641,70.023,69.601,-0.09,-0.23,-0.30,-0.32
0.9974,1.0000,340.9641,340.8260,69.601,69.419,-0.14,-0.10,-0.24,-0.24
1.0016,1.0000,340.8260,340.6864,69.419,69.286,-0.13,-0.07,-0.21,-0.21
1.0000,1.0000,340.6864,340.5931,69.286,69.024,-0.07,-0.14,-0.24,-0.21
1.0001,1.0000,340.5931,340.5944,69.024,68.503, 0.03,-0.28,-0.28,-0.25
0.9997,1.0000,340.5944,340.6763,68.503,67.764, 0.09,-0.39,-0.31,-0.30
1.0024,1.0000,340.6763,340.7505,67.764,67.021, 0.06,-0.39,-0.32,-0.33
0.9992,1.0000,340.7505,340.7811,67.021,66.383, 0.01,-0.33,-0.30,-0.32
1.0004,1.0000,340.7811,340.7578,66.383,65.868,-0.03,-0.27,-0.29,-0.29
0.9978,1.0000,340.7578,340.7521,65.868,65.469, 0.01,-0.20,-0.21,-0.19
1.0011,1.0000,340.7521,340.8415,65.469,65.017, 0.12,-0.23,-0.14,-0.11
1.0003,1.0000,340.8415,341.0254,65.017,64.446, 0.19,-0.29,-0.10,-0.10
1.0009,1.0000,341.0254,341.2095,64.446,63.813, 0.18,-0.32,-0.13,-0.14
0.9965,1.0000,341.2095,341.3530,63.813,63.117, 0.13,-0.34,-0.20,-0.22
1.0029,1.0000,341.3530,341.4294,63.117,62.481, 0.06,-0.31,-0.23,-0.26
0.9984,1.0000,341.4294,341.4009,62.481,62.095,-0.07,-0.19,-0.22,-0.26
1.0005,1.0000,341.4009,341.2099,62.095,61.996,-0.23,-0.05,-0.24,-0.28
1.0006,1.0000,341.2099,340.9134,61.996,62.072,-0.29, 0.04,-0.26,-0.25
1.0001,1.0000,340.9134,340.7176,62.072,61.901,-0.15,-0.08,-0.28,-0.23
